CITY,STATE_NAME,COUNTRY_NAME,Local,latitude,longitude
Abingdon,England,United Kingdom,"Abingdon, England, United Kingdom",51.6714842,-1.2779715
Albany,Oregon,United States,"Albany, Oregon, United States",44.6365071,-123.1059324
Alhambra,California,United States,"Alhambra, California, United States",34.093042,-118.12706
Arlington,Texas,United States,"Arlington, Texas, United States",32.7355816,-97.1071186
Atlanta,Georgia,United States,"Atlanta, Georgia, United States",33.7544657,-84.3898151
Auburn,California,United States,"Auburn, California, United States",38.8945939,-121.0739897
Augsburg,Bayern,Germany,"Augsburg, Bayern, Germany",48.3690341,10.8979522
Augsburg,Hamburg,Germany,"Augsburg, Hamburg, Germany",53.55109,9.99368
Augusta,Georgia,United States,"Augusta, Georgia, United States",33.4709714,-81.9748429
Aurora,Ontario,Canada,"Aurora, Ontario, Canada",43.99973,-79.467545
Austell,Georgia,United States,"Austell, Georgia, United States",33.8126059,-84.6343783
Austin,Texas,United States,"Austin, Texas, United States",30.2711286,-97.7436995
Bad Soden,Hessen,Germany,"Bad Soden, Hessen, Germany",50.1517006,8.4899671
Baldwin Park,California,United States,"Baldwin Park, California, United States",34.0854739,-117.9611761
Ballard,Washington,United States,"Ballard, Washington, United States",47.6765073,-122.3862233
Baltimore,Maryland,United States,"Baltimore, Maryland, United States",39.2908816,-76.610759
Barrie,Ontario,Canada,"Barrie, Ontario, Canada",44.3893208,-79.6901302
Barstow,California,United States,"Barstow, California, United States",34.8986215,-117.0244313
Basingstoke Hants,England,United Kingdom,"Basingstoke Hants, England, United Kingdom",51.2667,-1.0876
Baytown,Texas,United States,"Baytown, Texas, United States",29.7355047,-94.9774274
Beaverton,Oregon,United States,"Beaverton, Oregon, United States",45.4871723,-122.80378
Bell Gardens,California,United States,"Bell Gardens, California, United States",33.9694561,-118.1503953
Bellevue,Washington,United States,"Bellevue, Washington, United States",47.6144219,-122.192337
Bellflower,California,United States,"Bellflower, California, United States",33.8825705,-118.1167679
Bellingham,Washington,United States,"Bellingham, Washington, United States",48.7544012,-122.478836
Bendigo,Victoria,Australia,"Bendigo, Victoria, Australia",-36.7590183,144.2826718
Berkeley,California,United States,"Berkeley, California, United States",37.8708393,-122.272863
Berks,England,United Kingdom,"Berks, England, United Kingdom",51.4534889,-1.031873
Berkshire,England,United Kingdom,"Berkshire, England, United Kingdom",51.4534889,-1.031873
Berlin,Brandenburg,Germany,"Berlin, Brandenburg, Germany",52.520008,13.404954
Berlin,Hamburg,Germany,"Berlin, Hamburg, Germany",53.5534401,10.0260449
Berlin,Hessen,Germany,"Berlin, Hessen, Germany",50.5654225,9.6929957
Berlin,Nordrhein-Westfalen,Germany,"Berlin, Nordrhein-Westfalen, Germany",52.0267233,8.5345821
Berlin,Saarland,Germany,"Berlin, Saarland, Germany",49.2397779,6.9707674
Beverly Hills,California,United States,"Beverly Hills, California, United States",34.0696501,-118.3963062
Billericay,England,United Kingdom,"Billericay, England, United Kingdom",51.6284395,0.4218142
Billings,Montana,United States,"Billings, Montana, United States",45.7874957,-108.49607
Biloxi,Mississippi,United States,"Biloxi, Mississippi, United States",30.4007626,-88.8893818
Birmingham,Alabama,United States,"Birmingham, Alabama, United States",33.5206824,-86.8024326
Birmingham,England,United Kingdom,"Birmingham, England, United Kingdom",52.4796992,-1.9026911
Bluffton,South Carolina,United States,"Bluffton, South Carolina, United States",32.2371465,-80.8603868
Bobigny,Seine Saint Denis,France,"Bobigny, Seine Saint Denis, France",48.906387,2.4452231
Bonn,Hamburg,Germany,"Bonn, Hamburg, Germany",53.5570522,10.0496713
Bonn,Nordrhein-Westfalen,Germany,"Bonn, Nordrhein-Westfalen, Germany",50.7352621,7.1024635
Bothell,Washington,United States,"Bothell, Washington, United States",47.7623204,-122.2054035
Bottrop,Nordrhein-Westfalen,Germany,"Bottrop, Nordrhein-Westfalen, Germany",51.521581,6.929204
Boulogne-Billancourt,Hauts de Seine,France,"Boulogne-Billancourt, Hauts de Seine, France",48.8356649,2.240206
Boulogne-sur-Mer,Pas de Calais,France,"Boulogne-sur-Mer, Pas de Calais, France",50.7259985,1.6118771
Bountiful,Utah,United States,"Bountiful, Utah, United States",40.8894611,-111.8804817
Bracknell,England,United Kingdom,"Bracknell, England, United Kingdom",51.4143513,-0.7449925
Bradenton,Florida,United States,"Bradenton, Florida, United States",27.4989278,-82.5748194
Braintree,Massachusetts,United States,"Braintree, Massachusetts, United States",42.2205956,-71.0041229
Brampton,Ontario,Canada,"Brampton, Ontario, Canada",43.685832,-79.7599366
Branch,Minnesota,United States,"Branch, Minnesota, United States",45.5052353,-92.9547187
Branson,Missouri,United States,"Branson, Missouri, United States",36.6440772,-93.2169256
Braunschweig,Nordrhein-Westfalen,Germany,"Braunschweig, Nordrhein-Westfalen, Germany",51.4273099,7.3266304
Bremerton,Washington,United States,"Bremerton, Washington, United States",47.5653663,-122.6246836
Brisbane,Queensland,Australia,"Brisbane, Queensland, Australia",-27.4689623,153.0235009
Brossard,Quebec,Canada,"Brossard, Quebec, Canada",45.4554579,-73.4678695
Burbank,California,United States,"Burbank, California, United States",34.1812089,-118.307201
Burbank,Ohio,United States,"Burbank, Ohio, United States",40.988667,-81.9948684
Burien,Washington,United States,"Burien, Washington, United States",47.469918,-122.3485274
Burlingame,California,United States,"Burlingame, California, United States",37.5780965,-122.3473099
Burnaby,British Columbia,Canada,"Burnaby, British Columbia, Canada",49.2433804,-122.972545
Bury,England,United Kingdom,"Bury, England, United Kingdom",52.2460367,0.7125173
Byron,Georgia,United States,"Byron, Georgia, United States",32.6537561,-83.7596294
Calgary,Alberta,Canada,"Calgary, Alberta, Canada",51.0456064,-114.057541
Caloundra,Queensland,Australia,"Caloundra, Queensland, Australia",-26.7981633,153.1354434
Camarillo,California,United States,"Camarillo, California, United States",34.2176371,-119.0383541
Cambridge,England,United Kingdom,"Cambridge, England, United Kingdom",52.2055314,0.1186637
Campbellsville,Kentucky,United States,"Campbellsville, Kentucky, United States",37.3433974,-85.3419069
Canoga Park,California,United States,"Canoga Park, California, United States",34.2011078,-118.5978087
Carol Stream,Illinois,United States,"Carol Stream, Illinois, United States",41.9125286,-88.1347927
Carrollton,Texas,United States,"Carrollton, Texas, United States",32.9537349,-96.8902816
Carson,California,United States,"Carson, California, United States",33.8322043,-118.2517547
Casper,Wyoming,United States,"Casper, Wyoming, United States",42.8501191,-106.325138
Cedar City,Utah,United States,"Cedar City, Utah, United States",37.6774238,-113.061827
Cedar Park,Texas,United States,"Cedar Park, Texas, United States",30.5217116,-97.827833
Central Valley,New York,United States,"Central Valley, New York, United States",41.3317605,-74.120978
Cergy,Val d'Oise,France,"Cergy, Val d'Oise, France",49.0527528,2.0388736
Cerritos,California,United States,"Cerritos, California, United States",33.8644291,-118.0539323
Chalk Riber,Ontario,Canada,"Chalk Riber, Ontario, Canada",46.0167,-77.4500
Chandler,Arizona,United States,"Chandler, Arizona, United States",33.3062031,-111.841185
Chantilly,Virginia,United States,"Chantilly, Virginia, United States",38.885219,-77.4486772
Charlotte,North Carolina,United States,"Charlotte, North Carolina, United States",35.2272086,-80.8430827
Chatou,Yveline,France,"Chatou, Yveline, France",48.8906,2.1569
Cheektowaga,New York,United States,"Cheektowaga, New York, United States",42.9033917,-78.7547536
Chehalis,Washington,United States,"Chehalis, Washington, United States",46.6599653,-122.963432
Cheltenham,England,United Kingdom,"Cheltenham, England, United Kingdom",51.8995685,-2.0711559
Cheyenne,Wyoming,United States,"Cheyenne, Wyoming, United States",41.139981,-104.820246
Chicago,Illinois,United States,"Chicago, Illinois, United States",41.8755616,-87.6244212
Chula Vista,California,United States,"Chula Vista, California, United States",32.6400541,-117.084195
Cincinnati,Ohio,United States,"Cincinnati, Ohio, United States",39.1014537,-84.5124602
Citrus Heights,California,United States,"Citrus Heights, California, United States",38.7071247,-121.2810611
City Of Commerce,California,United States,"City Of Commerce, California, United States",33.9718653,-118.1275476
Clackamas,Oregon,United States,"Clackamas, Oregon, United States",45.1608821,-122.2305038
Clarkston,Georgia,United States,"Clarkston, Georgia, United States",33.8095487,-84.2396434
Clay,New York,United States,"Clay, New York, United States",43.186621,-76.2065431
Clearwater,Florida,United States,"Clearwater, Florida, United States",27.9658533,-82.8001026
Cliffside,British Columbia,Canada,"Cliffside, British Columbia, Canada",49.2279291,-124.0066167
Cloverdale,South Australia,Australia,"Cloverdale, South Australia, Australia",-35.14565,138.60952
Coffs Harbour,New South Wales,Australia,"Coffs Harbour, New South Wales, Australia",-30.2985996,153.1094116
College Station,Texas,United States,"College Station, Texas, United States",30.6183939,-96.3455991
Colma,California,United States,"Colma, California, United States",37.6766821,-122.459603
Colombes,Hauts de Seine,France,"Colombes, Hauts de Seine, France",48.9227298,2.2543631
Colomiers,Garonne (Haute),France,"Colomiers, Garonne (Haute), France",43.6112476,1.3367443
Columbus,Georgia,United States,"Columbus, Georgia, United States",32.4610708,-84.9880449
Columbus,Ohio,United States,"Columbus, Ohio, United States",39.9622601,-83.0007065
Concord,California,United States,"Concord, California, United States",37.9768525,-122.0335624
Coronado,California,United States,"Coronado, California, United States",32.6915199,-117.1766947
Corpus Christi,Texas,United States,"Corpus Christi, Texas, United States",27.7635302,-97.4033191
Corvallis,Oregon,United States,"Corvallis, Oregon, United States",44.5645659,-123.2620435
Courbevoie,Hauts de Seine,France,"Courbevoie, Hauts de Seine, France",48.8953328,2.2561602
Cranbourne,Victoria,Australia,"Cranbourne, Victoria, Australia",-38.0997308,145.2807256
Croix,Nord,France,"Croix, Nord, France",50.6802124,3.1564365
Crossville,Tennessee,United States,"Crossville, Tennessee, United States",35.949684,-85.0274835
Culver City,California,United States,"Culver City, California, United States",34.0211224,-118.396466
Daleville,Indiana,United States,"Daleville, Indiana, United States",40.1211546,-85.5580301
Dallas,Texas,United States,"Dallas, Texas, United States",32.7762719,-96.7968559
Daly City,California,United States,"Daly City, California, United States",37.6904826,-122.47267
Darlinghurst,New South Wales,Australia,"Darlinghurst, New South Wales, Australia",-33.8783381,151.219225
Darmstadt,Hessen,Germany,"Darmstadt, Hessen, Germany",49.8851869,8.6736295
Decatur,Georgia,United States,"Decatur, Georgia, United States",30.8736613,-84.5740953
Denby,South Dakota,United States,"Denby, South Dakota, United States",43.0608228,-102.3376561
Denver,Colorado,United States,"Denver, Colorado, United States",39.7392364,-104.984862
Destin,Florida,United States,"Destin, Florida, United States",30.3935337,-86.4957834
Detroit,Michigan,United States,"Detroit, Michigan, United States",42.3315509,-83.0466403
Dorval,Quebec,Canada,"Dorval, Quebec, Canada",45.4453082,-73.7510888
Downey,California,United States,"Downey, California, United States",33.9404441,-118.1292846
Drancy,Seine Saint Denis,France,"Drancy, Seine Saint Denis, France",48.9229803,2.4455201
Dresden,Hessen,Germany,"Dresden, Hessen, Germany",50.4409059,9.2424162
Duesseldorf,Hessen,Germany,"Duesseldorf, Hessen, Germany",51.6128915,9.5883836
Duluth,Minnesota,United States,"Duluth, Minnesota, United States",46.7729322,-92.1251218
Dunkerque,Nord,France,"Dunkerque, Nord, France",51.0347708,2.3772525
East Brisbane,Queensland,Australia,"East Brisbane, Queensland, Australia",-27.483124,153.0464312
East Haven,Connecticut,United States,"East Haven, Connecticut, United States",41.2762081,-72.8684337
Edina,Minnesota,United States,"Edina, Minnesota, United States",44.8897027,-93.3501222
Edmonds,Washington,United States,"Edmonds, Washington, United States",47.8105738,-122.3774952
Edmonton,Alberta,Canada,"Edmonton, Alberta, Canada",53.5462055,-113.491241
Eilenburg,Brandenburg,Germany,"Eilenburg, Brandenburg, Germany",51.459892,12.633450
El Cajon,California,United States,"El Cajon, California, United States",32.7947731,-116.962526
El Segundo,California,United States,"El Segundo, California, United States",33.917028,-118.4156337
Elgin,Illinois,United States,"Elgin, Illinois, United States",42.03726,-88.2810994
Elk Grove,California,United States,"Elk Grove, California, United States",38.4087993,-121.3716178
Ellensburg,Washington,United States,"Ellensburg, Washington, United States",46.9970635,-120.545122
Endicott,New York,United States,"Endicott, New York, United States",42.098408,-76.0493684
Englewood,Colorado,United States,"Englewood, Colorado, United States",39.6482059,-104.9879641
Erlangen,Bayern,Germany,"Erlangen, Bayern, Germany",49.5891571,10.9812072
Escondido,California,United States,"Escondido, California, United States",33.1216751,-117.0814849
Esher-Molesey,England,United Kingdom,"Esher-Molesey, England, United Kingdom",51.3984655,-0.3488522
Essen,Hamburg,Germany,"Essen, Hamburg, Germany",53.5719631,10.0440941
Etobicoke,Ontario,Canada,"Etobicoke, Ontario, Canada",43.6435559,-79.5656326
Euclid,Ohio,United States,"Euclid, Ohio, United States",41.5931049,-81.5267873
Eureka,California,United States,"Eureka, California, United States",40.8018746,-124.1707558
Everett,Washington,United States,"Everett, Washington, United States",47.9793437,-122.2127011
Falls Church,Virginia,United States,"Falls Church, Virginia, United States",38.882334,-77.1710914
Federal Way,Washington,United States,"Federal Way, Washington, United States",47.313494,-122.33931
Ferguson,Missouri,United States,"Ferguson, Missouri, United States",38.744707,-90.3038975
Fernley,Nevada,United States,"Fernley, Nevada, United States",39.6075249,-119.2508406
Findon,South Australia,Australia,"Findon, South Australia, Australia",-34.899463,138.5314438
Florence,Alabama,United States,"Florence, Alabama, United States",34.79981,-87.677251
Florence,Kentucky,United States,"Florence, Kentucky, United States",38.9989499,-84.6266111
Fontana,California,United States,"Fontana, California, United States",34.0922947,-117.43433
Fort Wayne,Indiana,United States,"Fort Wayne, Indiana, United States",41.0799898,-85.1386015
Fort Worth,Texas,United States,"Fort Worth, Texas, United States",32.753177,-97.3327459
Frankfurt,Bayern,Germany,"Frankfurt, Bayern, Germany",49.6806061,10.5267235
Frankfurt,Hessen,Germany,"Frankfurt, Hessen, Germany",50.1106444,8.6820917
Frankfurt am Main,Hamburg,Germany,"Frankfurt am Main, Hamburg, Germany",50.110922,8.682127
Frankfurt am Main,Saarland,Germany,"Frankfurt am Main, Saarland, Germany",49.2322377,6.9867888
Fremont,California,United States,"Fremont, California, United States",37.5482697,-121.988571
Fullerton,California,United States,"Fullerton, California, United States",33.8708215,-117.929416
Gaffney,South Carolina,United States,"Gaffney, South Carolina, United States",35.0717945,-81.6498195
Garland,Texas,United States,"Garland, Texas, United States",32.912624,-96.6388833
Gateshead,England,United Kingdom,"Gateshead, England, United Kingdom",54.9625789,-1.6019294
Geelong,Victoria,Australia,"Geelong, Victoria, Australia",-38.1493248,144.3598241
Gilbert,Arizona,United States,"Gilbert, Arizona, United States",33.3527632,-111.789037
Gilroy,California,United States,"Gilroy, California, United States",37.0065078,-121.5631723
Glendale,California,United States,"Glendale, California, United States",34.1469416,-118.2478471
Gloucestershire,England,United Kingdom,"Gloucestershire, England, United Kingdom",51.7643786,-2.1880662
Gold Coast,Queensland,Australia,"Gold Coast, Queensland, Australia",-28.0023731,153.4145987
Goulburn,New South Wales,Australia,"Goulburn, New South Wales, Australia",-34.7523871,149.7198009
Great Falls,Montana,United States,"Great Falls, Montana, United States",47.5048851,-111.29189
Greeley,Colorado,United States,"Greeley, Colorado, United States",40.4233142,-104.7091322
Greensboro,North Carolina,United States,"Greensboro, North Carolina, United States",36.0726355,-79.7919754
Grevenbroich,Bayern,Germany,"Grevenbroich, Bayern, Germany",51.091192,6.583331
Grossmont,California,United States,"Grossmont, California, United States",32.7817742,-117.0113209
Gulfport,Mississippi,United States,"Gulfport, Mississippi, United States",30.3674198,-89.0928155
Hamburg,Hamburg,Germany,"Hamburg, Hamburg, Germany",53.5909051,9.9753758
Hamburg,Hessen,Germany,"Hamburg, Hessen, Germany",50.4411156,9.242431
Hamden,Connecticut,United States,"Hamden, Connecticut, United States",41.3959302,-72.8968574
Haney,British Columbia,Canada,"Haney, British Columbia, Canada",49.2183683,-122.6250338
Hanford,California,United States,"Hanford, California, United States",36.3277959,-119.6461565
Hannover,Nordrhein-Westfalen,Germany,"Hannover, Nordrhein-Westfalen, Germany",51.5037749,7.1708103
Hawthorne,Queensland,Australia,"Hawthorne, Queensland, Australia",-27.4623063,153.0598051
Heath,Ohio,United States,"Heath, Ohio, United States",40.0228421,-82.4445991
Hervey Bay,Queensland,Australia,"Hervey Bay, Queensland, Australia",-25.2985784,152.8535216
High Wycombe,England,United Kingdom,"High Wycombe, England, United Kingdom",51.6317449,-0.75596
Hillsboro,Oregon,United States,"Hillsboro, Oregon, United States",45.5228939,-122.989827
Hobart,Tasmania,Australia,"Hobart, Tasmania, Australia",-42.8825088,147.3281233
Hof,Bayern,Germany,"Hof, Bayern, Germany",50.3219015,11.9178807
Holland,Michigan,United States,"Holland, Michigan, United States",42.7876022,-86.1090828
Holland,Ohio,United States,"Holland, Ohio, United States",41.621718,-83.711604
Hollywood,Florida,United States,"Hollywood, Florida, United States",26.0112014,-80.1494901
Hooksett,New Hampshire,United States,"Hooksett, New Hampshire, United States",43.0939589,-71.462516
Houston,Texas,United States,"Houston, Texas, United States",29.7589382,-95.3676974
Howell,Michigan,United States,"Howell, Michigan, United States",42.6072552,-83.9293952
Hull,Quebec,Canada,"Hull, Quebec, Canada",45.4405842,-75.7326823
Humble,Texas,United States,"Humble, Texas, United States",29.9988312,-95.2621553
Huntsville,Alabama,United States,"Huntsville, Alabama, United States",34.729847,-86.5859011
Idaho Falls,Idaho,United States,"Idaho Falls, Idaho, United States",43.4887907,-112.03628
Imperial Beach,California,United States,"Imperial Beach, California, United States",32.583893,-117.1130487
Indianapolis,Indiana,United States,"Indianapolis, Indiana, United States",39.7683331,-86.1583502
Ingolstadt,Bayern,Germany,"Ingolstadt, Bayern, Germany",48.7630165,11.4250395
Irvine,California,United States,"Irvine, California, United States",33.6856969,-117.825981
Irving,Texas,United States,"Irving, Texas, United States",32.8295183,-96.9442177
Issaquah,Washington,United States,"Issaquah, Washington, United States",47.5348778,-122.043297
Jefferson City,Missouri,United States,"Jefferson City, Missouri, United States",38.577359,-92.1724265
Johnson Creek,Wisconsin,United States,"Johnson Creek, Wisconsin, United States",43.0759165,-88.774837
Joliet,Illinois,United States,"Joliet, Illinois, United States",41.5263603,-88.0840212
Kanata,Ontario,Canada,"Kanata, Ontario, Canada",45.3659205,-75.9654674
Kannapolis,North Carolina,United States,"Kannapolis, North Carolina, United States",35.4979605,-80.6240008
Kansas City,Missouri,United States,"Kansas City, Missouri, United States",39.100105,-94.5781416
Kassel,Hessen,Germany,"Kassel, Hessen, Germany",51.3157833,9.4978479
Kelso,Washington,United States,"Kelso, Washington, United States",46.1421249,-122.905299
Kendall,Florida,United States,"Kendall, Florida, United States",25.6718125,-80.3548608
Kenmore,Washington,United States,"Kenmore, Washington, United States",47.7596715,-122.2496367
Kennewick,Washington,United States,"Kennewick, Washington, United States",46.2087066,-119.119919
Kent,Washington,United States,"Kent, Washington, United States",47.3826903,-122.2270272
Kiel,Saarland,Germany,"Kiel, Saarland, Germany",54.323334,10.139444
Killeen,Texas,United States,"Killeen, Texas, United States",31.1171441,-97.727796
Kingston,Ontario,Canada,"Kingston, Ontario, Canada",44.3054151,-76.4283781
Kirkby,England,United Kingdom,"Kirkby, England, United Kingdom",53.4821071,-2.8886045
Kirkland,Washington,United States,"Kirkland, Washington, United States",47.6765382,-122.2070775
Kittery,Maine,United States,"Kittery, Maine, United States",43.088448,-70.736847
Klamath Falls,Oregon,United States,"Klamath Falls, Oregon, United States",42.224867,-121.78167
La Grange,Georgia,United States,"La Grange, Georgia, United States",32.9955364,-84.9790087
La Jolla,California,United States,"La Jolla, California, United States",32.8401623,-117.2740777
La Marque,Texas,United States,"La Marque, Texas, United States",29.3685674,-94.9713134
La Mesa,California,United States,"La Mesa, California, United States",32.7678288,-117.0230839
La Vergne,Tennessee,United States,"La Vergne, Tennessee, United States",36.0156178,-86.5819394
Lacey,Washington,United States,"Lacey, Washington, United States",47.0263876,-122.8072257
Lake Elsinore,California,United States,"Lake Elsinore, California, United States",33.6680772,-117.3272615
Lake George,New York,United States,"Lake George, New York, United States",43.425996,-73.712425
Lake Oswego,Oregon,United States,"Lake Oswego, Oregon, United States",45.4206749,-122.670649
Lakeland,Florida,United States,"Lakeland, Florida, United States",28.0394654,-81.9498042
Lakewood,California,United States,"Lakewood, California, United States",33.8503463,-118.117191
Lancaster,England,United Kingdom,"Lancaster, England, United Kingdom",54.0484068,-2.7990345
Lane Cove,New South Wales,Australia,"Lane Cove, New South Wales, Australia",-33.8232026,151.1697148
Langford,British Columbia,Canada,"Langford, British Columbia, Canada",48.4497693,-123.504666
Langley,British Columbia,Canada,"Langley, British Columbia, Canada",49.1039289,-122.657047
Laredo,Texas,United States,"Laredo, Texas, United States",27.5075005,-99.5069922
Las Cruces,New Mexico,United States,"Las Cruces, New Mexico, United States",32.3140354,-106.779807
Las Vegas,Nevada,United States,"Las Vegas, Nevada, United States",36.171697,-115.1463536
Lavender Bay,New South Wales,Australia,"Lavender Bay, New South Wales, Australia",-33.8432002,151.2074155
Lebanon,Oregon,United States,"Lebanon, Oregon, United States",44.5363364,-122.9072329
Leeds,England,United Kingdom,"Leeds, England, United Kingdom",53.7974185,-1.5437941
Leesburg,Virginia,United States,"Leesburg, Virginia, United States",39.1154506,-77.5645607
Leipzig,Nordrhein-Westfalen,Germany,"Leipzig, Nordrhein-Westfalen, Germany",51.437738,6.9330791
Lemon Grove,California,United States,"Lemon Grove, California, United States",32.7425516,-117.0314172
Les Ulis,Essonne,France,"Les Ulis, Essonne, France",48.681708,2.1701573
Lewiston,Idaho,United States,"Lewiston, Idaho, United States",46.4195913,-117.0216144
Lieusaint,Seine et Marne,France,"Lieusaint, Seine et Marne, France",48.6316608,2.5514783
Lille,Nord,France,"Lille, Nord, France",50.6365654,3.0635282
Lincoln Acres,California,United States,"Lincoln Acres, California, United States",32.6678312,-117.0728066
Liverpool,England,United Kingdom,"Liverpool, England, United Kingdom",53.4071991,-2.99168
Logansport,Indiana,United States,"Logansport, Indiana, United States",40.7542375,-86.3625191
London,England,United Kingdom,"London, England, United Kingdom",51.4893335,-0.1440551
Long Beach,California,United States,"Long Beach, California, United States",33.7690164,-118.191604
Longmont,Colorado,United States,"Longmont, Colorado, United States",40.1672117,-105.101928
Longview,Washington,United States,"Longview, Washington, United States",46.1377048,-122.934462
Los Angeles,California,United States,"Los Angeles, California, United States",34.0536909,-118.242766
Loveland,Colorado,United States,"Loveland, Colorado, United States",40.3977612,-105.07498
Lynnwood,Washington,United States,"Lynnwood, Washington, United States",47.8278656,-122.3053932
Madison Heights,Michigan,United States,"Madison Heights, Michigan, United States",42.4858692,-83.1052028
Maidenhead,England,United Kingdom,"Maidenhead, England, United Kingdom",51.522743,-0.7197368
Malabar,New South Wales,Australia,"Malabar, New South Wales, Australia",-33.9629779,151.2480171
Mansfield,Ohio,United States,"Mansfield, Ohio, United States",40.75839,-82.5154471
Marietta,Georgia,United States,"Marietta, Georgia, United States",33.9528472,-84.5496148
Markham,Ontario,Canada,"Markham, Ontario, Canada",43.8563707,-79.3376825
Marysville,Washington,United States,"Marysville, Washington, United States",48.0517429,-122.1768209
Maryville,Tennessee,United States,"Maryville, Tennessee, United States",35.7564719,-83.9704593
Matraville,New South Wales,Australia,"Matraville, New South Wales, Australia",-33.9639325,151.2334198
Mcdonough,Georgia,United States,"Mcdonough, Georgia, United States",33.4473361,-84.1468616
